Order number,Ordered for,NBN Co Location ID,Date ordered,Order Planned Completion Date,PWO,CWO,nbnreasoncode,nbnappend,Call Received,Truck Rolls,SP status, Completion,Percentage Completetion
ORD420019914515,ASI000000220777,LOC000015861609,5/03/2019 16:14,1/04/2019 12:00,WOR700038349810,WOR700038349823,ASSIGNED,1/04/2019 12:00,,,In progress - Pending,0,
ORD420020290971,ASI000000000026,LOC000015861609,14/03/2019 10:42,28/03/2019 11:00,WOR700039111968,WOR700039111981,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD410001501825,ASI000000220777,LOC000015876517,15/03/2019 12:20,29/03/2019 12:00,WOR700039215253,WOR700039215276,PHY-INST-COMP,29/03/2019 12:00,,Yes,Complete,1,
ORD420020071835,ASI000000220777,LOC000015876517,9/03/2019 14:21,29/03/2019 12:00,WOR700039371709,WOR700039371713,EU-DECLINE-CONNECTION,29/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020400811,ASI000000001074,LOC000016041609,17/03/2019 14:05,26/03/2019 17:00,WOR700039341045,WOR700039341050,FINISHED,26/03/2019 17:00,,Yes,Complete,1,
ORD420020074525,ASI000000000035,LOC000016075520,9/03/2019 16:06,26/03/2019 17:00,WOR700038756621,WOR700038756632,PHY-INST-COMP,26/03/2019 17:00,,Yes,Complete,1,
ORD420020131415,ASI000000151622,LOC000016075520,11/03/2019 15:53,27/03/2019 12:00,WOR700038833452,WOR700038833468,FINISHED,27/03/2019 12:00,,Yes,Complete,1,
ORD420020380805,ASI000000001104,LOC000016809396,16/03/2019 10:51,1/04/2019 11:00,WOR700039306513,WOR700039306521,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020383526,ASI000000001104,LOC000016809396,16/03/2019 12:50,1/04/2019 11:00,WOR700039314661,WOR700039314674,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020586800,ASI000000000035,LOC000019113109,21/03/2019 16:13,26/03/2019 11:00,WOR700039749225,WOR700039749241,PHY-INT-COMP,26/03/2019 13:00,,Yes,Complete,1,
ORD420020452966,ASI000000000026,LOC000019134833,18/03/2019 20:11,1/04/2019 12:00,WOR700039454721,WOR700039454732,ASSIGNED,1/04/2019 13:00,,,In progress,0,
ORD420020451228,ASI000000000035,LOC000020222872,18/03/2019 19:49,29/03/2019 12:00,WOR700039452348,WOR700039452369,FINISHED,29/03/2019 12:00,,Yes,Complete,1,
ORD420020113561,ASI000000221038,LOC000020801964,10/03/2019 17:04,30/03/2019 17:00,WOR700038784100,WOR700038784116,FINISHED,30/03/2019 18:00,,Yes,Complete,1,
ORD420020133734,ASI000000000035,LOC000020801964,11/04/2019 16:42,28/03/2019 17:00,WOR700038840843,WOR700038840858,ASSIGNED,28/03/2019 18:00,,,In progress,0,
ORD410001457220,ASI000000001094,LOC000021547898,4/03/2019 8:38,27/03/2019 12:00,WOR700038186218,WOR700038186225,EU-DECLINE-INSTALLATION-METHOD,27/03/2019 12:00,Yes,Yes,In progress,0,
ORD410001457249,ASI000000001094,LOC000021547898,4/03/2019 8:50,27/03/2019 12:00,WOR700038186729,WOR700038186738,EU-TECHNICIAN-REQUIRED,27/03/2019 12:00,Yes,Yes,In progress,0,
ORD420019743309,ASI000000000035,LOC000021614494,28/02/2019 15:34,27/03/2019 17:00,WOR700037948588,WOR700037948601,TAP-SIGNAL-ISSUE,27/03/2019 17:00,Yes,Yes,In progress - Held,0,
ORD420019745505,ASI000000000035,LOC000021614494,28/02/2019 16:21,27/03/2019 17:00,WOR700037956252,WOR700037956268,DELAY-OTHER-RESCHEDULE,27/03/2019 17:00,Yes,Yes,In progress,0,
ORD420020061105,ASI000000000026,LOC000022329390,9/03/2019 5:29,30/03/2019 11:00,WOR700038726004,WOR700039322800,FINISHED-NIA,30/03/2019 13:00,Yes,Yes,In progress,0,
ORD420020635273,ASI000000000035,LOC000022329390,22/03/2019 13:11,27/03/2019 11:00,WOR700039843912,WOR700039843920,WORKFORCE-ADDITIONAL-SKILLS,27/03/2019 13:00,Yes,Yes,In progress,0,
ORD420020290651,ASI000000000035,LOC000022804445,14/03/2019 10:29,28/03/2019 12:00,WOR700039098482,WOR700039098509,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420020324578,ASI000000000035,LOC000022804445,15/03/2019 8:01,28/03/2019 12:00,WOR700039191709,WOR700039191713,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD410001501319,ASI000000001094,LOC000023352436,15/03/2019 10:16,26/03/2019 12:00,WOR700039200190,WOR700039200208,ON-APPROACH-PRE-CALL-CANCELLATION,26/03/2019 12:00,Yes,Yes,In progress,0,
ORD410001501357,ASI000000001094,LOC000023352436,15/03/2019 10:21,26/03/2019 12:00,WOR700039200980,WOR700039200998,ON-APPROACH-PRE-CALL-CANCELLATION,26/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020491972,ASI000000220777,LOC000023860715,19/03/2019 12:56,29/03/2019 17:00,WOR700039515418,WOR700039515425,ORDER-CAN,29/03/2019 17:00,,,Cancelled,0,
ORD420020492383,ASI000000220777,LOC000023860715,19/03/2019 13:11,1/04/2019 17:00,WOR700039517534,WOR700039517552,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD420020508993,ASI000000220777,LOC000025017629,19/03/2019 19:27,27/03/2019 17:00,WOR700039573776,WOR700039573782,INCORRECT-ADDRESS,27/03/2019 18:00,Yes,Yes,In progress - Pending,0,
ORD420019748446,ASI000000001104,LOC000026373225,28/02/2019 17:30,28/03/2019 17:00,WOR700037965150,WOR700037965166,BOOKED,28/03/2019 17:00,,,In progress,0,
ORD420019748530,ASI000000001104,LOC000026373225,28/02/2019 17:31,28/03/2019 17:00,WOR700037965355,WOR700037965364,FINISHED,28/03/2019 17:00,,Yes,Complete,1,
ORD420019755149,ASI000000001074,LOC000026422831,28/02/2019 19:19,29/03/2019 17:00,WOR700037982700,WOR700037982716,FINISHED,29/03/2019 17:00,,Yes,Complete,1,
ORD420020480019,ASI000000000026,LOC000026422831,19/03/2019 6:26,27/03/2019 17:00,WOR700039484066,WOR700039484078,PHY-INST-COMP,27/03/2019 18:00,Yes,Yes,Complete,1,
ORD420019782686,ASI000000220777,LOC000026908609,1/03/2019 12:52,28/03/2019 12:00,WOR700038047791,WOR700038047801,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420020150998,ASI000000000035,LOC000026908609,12/03/2019 1:38,27/03/2019 11:00,WOR700038875550,WOR700038875566,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,27/03/2019 12:00,,,In progress,0,
ORD420020188473,ASI000000220777,LOC000027001468,12/03/2019 17:55,28/03/2019 12:00,WOR700038946538,WOR700038946540,FINISHED-NIA,28/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD420020228337,ASI000000220777,LOC000027001468,13/03/2019 10:32,28/03/2019 12:00,WOR700038993789,WOR700038993791,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420019732285,ASI000000000035,LOC000029023501,28/02/2019 12:04,27/03/2019 17:00,WOR700037915376,WOR700037915382,FINISHED,27/03/2019 18:00,,Yes,Complete,1,
ORD420019707051,ASI000000220777,LOC000029601057,27/02/2019 18:56,28/03/2019 12:00,WOR700037878725,WOR700037878739,FINISHED,28/03/2019 12:00,,Yes,Complete,1,
ORD420019709049,ASI000000220777,LOC000029601057,27/02/2019 19:50,29/03/2019 12:00,WOR700037878149,WOR700037878154,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,29/03/2019 12:00,,,In progress - Pending,0,
ORD420020017537,ASI000000001074,LOC000029653757,7/03/2019 22:39,30/03/2019 17:00,WOR700038615029,WOR700038615038,FINISHED,30/03/2019 17:00,,Yes,Complete,1,
ORD420020405742,ASI000000000035,LOC000030196444,17/03/2019 19:27,1/04/2019 17:00,WOR700039353240,WOR700039353264,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD420020405800,ASI000000000035,LOC000030196444,17/03/2019 19:28,1/04/2019 17:00,WOR700039353744,WOR700039353759,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD420020621855,ASI000000220777,LOC000030824124,22/03/2019 10:26,26/03/2019 17:00,WOR700039817517,WOR700039817529,FINISHED,26/03/2019 18:00,Yes,Yes,Complete,1,
ORD420020623476,ASI000000220777,LOC000030824124,22/03/2019 10:50,27/03/2019 11:00,WOR700039820860,WOR700039820887,EU-DECLINE-CONNECTION,27/03/2019 13:00,Yes,Yes,Cancelled,0,
ORD420020515693,ASI000000220777,LOC000035020278,19/03/2019 21:08,1/04/2019 12:00,WOR700039584682,WOR700039584695,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD410001502922,ASI000000001094,LOC000035513662,15/03/2019 15:58,28/03/2019 12:00,WOR700039244312,WOR700039244349,FINISHED,28/03/2019 12:00,,Yes,In progress - Pending,0,
ORD410001502967,ASI000000001094,LOC000035513662,15/03/2019 16:00,28/03/2019 17:00,WOR700039245073,WOR700039245087,FINISHED-NIA,28/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020282508,ASI000000000035,LOC000035748453,14/03/2019 5:39,27/03/2019 11:00,WOR700039082948,WOR700039082953,PHY-INST-COMP,27/03/2019 12:00,,Yes,Complete,1,
ORD410001491590,ASI000000000035,LOC000036224729,12/03/2019 16:13,28/03/2019 12:00,WOR700038932834,WOR700039625059,FINISHED,28/03/2019 12:30,,Yes,Complete,1,
ORD420020517597,ASI000000000035,LOC000036832151,19/03/2019 21:32,27/03/2019 17:00,WOR700039587117,WOR700039587129,FINISHED,27/03/2019 18:00,Yes,Yes,Complete,1,
ORD420020429117,ASI000000000035,LOC000038779371,18/03/2019 10:06,1/04/2019 12:00,WOR700039370564,WOR700039370572,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020660596,ASI000000001074,LOC000041278099,22/03/2019 20:38,29/03/2019 12:00,WOR700039904348,WOR700039904353,FINISHED,29/03/2019 12:30,,Yes,Complete,1,
ORD420020660698,ASI000000001074,LOC000041278099,22/03/2019 20:39,29/03/2019 12:00,WOR700039905277,WOR700039905283,FINISHED,29/03/2019 12:30,,Yes,Complete,1,
ORD420020478452,ASI000000000026,LOC000041303626,19/03/2019 5:47,26/03/2019 12:00,WOR700039476274,WOR700039476288,NO-RESOURCE-CAPACITY,26/03/2019 13:00,,,In progress - Pending,0,
ORD420020478614,ASI000000000026,LOC000041303626,19/03/2019 5:49,26/03/2019 12:00,WOR700039476430,WOR700039476448,NO-RESOURCE-CAPACITY,26/03/2019 13:00,,,In progress - Pending,0,
ORD420020478646,ASI000000000026,LOC000041303626,19/03/2019 5:49,26/03/2019 12:00,WOR700039476453,WOR700039476469,FINISHED,26/03/2019 13:00,Yes,Yes,Complete,1,
ORD420020490788,ASI000000000035,LOC000041504465,19/03/2019 12:24,26/03/2019 12:00,WOR700039510959,WOR700039510963,FINISHED,26/03/2019 13:00,,Yes,Complete,1,
ORD420020197426,ASI000000001074,LOC000042790631,12/03/2019 20:44,29/03/2019 12:00,WOR700038964801,WOR700039727246,FINISHED,29/03/2019 13:00,,Yes,Complete,1,
ORD420019752123,ASI000000001074,LOC000043022132,28/02/2019 18:37,29/03/2019 17:00,WOR700037975153,WOR700037975169,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,29/03/2019 17:00,,,Cancelled,0,
ORD420020165194,ASI000000000026,LOC000043022132,12/03/2019 5:55,26/03/2019 11:00,WOR700038882803,WOR700038882819,EU-DECLINE-CONNECTION,26/03/2019 12:00,Yes,Yes,In progress,0,
ORD420019799644,ASI000000000035,LOC000044134893,1/03/2019 20:19,29/03/2019 12:00,WOR700038106758,WOR700038106762,EU-DECLINE-CONNECTION,29/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD420019803691,ASI000000000035,LOC000044134893,2/03/2019 1:16,28/03/2019 17:00,WOR700038115823,WOR700038115834,FINISHED,28/03/2019 17:00,,Yes,Complete,1,
ORD420019783534,ASI000000220777,LOC000045924150,1/03/2019 13:13,28/03/2019 12:00,WOR700038051327,WOR700038051343,NEW-LIC-CIVILS,28/03/2019 12:00,Yes,Yes,In progress - Held,0,
ORD420019789047,ASI000000220777,LOC000045924150,1/03/2019 15:25,29/03/2019 12:00,WOR700038071419,WOR700038071435,WITHIN-3-DAYS-PRE-CALL-CANCELLATION,29/03/2019 12:00,,,In progress - Pending,0,
ORD420020125879,ASI000000000035,LOC000049089837,11/03/2019 13:06,28/03/2019 12:00,WOR700039117969,WOR700039117976,ORDER-CAN,28/03/2019 12:00,,,Cancelled,0,
ORD420019915503,ASI000000000035,LOC000049171373,5/03/2019 16:34,1/04/2019 17:00,WOR700038353969,WOR700038353976,ASSIGNED,1/04/2019 18:00,,,In progress,0,
ORD420020645329,ASI000000220777,LOC000049171373,22/03/2019 15:48,29/03/2019 12:00,WOR700039867736,WOR700039867758,FINISHED-NIA,29/03/2019 13:00,Yes,Yes,In progress - Pending,0,
ORD420019712742,ASI000000221038,LOC000049741364,27/02/2019 21:50,1/04/2019 17:00,WOR700038077692,WOR700038077709,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD420019876097,ASI000000221038,LOC000051342406,4/03/2019 22:03,28/03/2019 17:00,WOR700038279196,WOR700038279203,NO-RESOURCE-CAPACITY,28/03/2019 18:00,,,In progress,0,
ORD420019910105,ASI000000000035,LOC000051671769,5/03/2019 14:26,27/03/2019 17:00,WOR700038333779,WOR700038333780,FINISHED,27/03/2019 17:00,,Yes,Complete,1,
ORD420019914298,ASI000000001074,LOC000051671769,5/03/2019 16:11,1/04/2019 17:00,WOR700038349351,WOR700038349367,ASSIGNED,1/04/2019 17:00,,,In progress,0,
ORD410001521842,ASI000000220777,LOC000051712818,19/03/2019 18:38,26/03/2019 11:00,WOR700039568149,WOR700039568183,EU-TIME-CONSTRAINT,26/03/2019 13:00,Yes,Yes,In progress,0,
ORD410001521888,ASI000000220777,LOC000051712818,19/03/2019 18:46,26/03/2019 11:00,WOR700039569307,WOR700039569311,ON-TIME,26/03/2019 13:00,Yes,Yes,Cancelled,0,
ORD420019663212,ASI000000220777,LOC000053589780,26/02/2019 20:58,27/03/2019 12:00,WOR700037762381,WOR700037762399,NO-RESOURCE-CAPACITY,27/03/2019 12:00,,,In progress - Pending,0,
ORD420019790968,ASI000000220777,LOC000053589780,1/03/2019 16:13,27/03/2019 17:00,WOR700039482240,WOR700039482255,EU-DECLINE-INSTALLATION-METHOD,27/03/2019 18:00,Yes,Yes,In progress,0,
ORD420020504421,ASI000000220777,LOC000054807158,19/03/2019 17:59,27/03/2019 12:00,WOR700039562166,WOR700039562184,FINISHED,27/03/2019 13:00,,Yes,Complete,1,
ORD420020624954,ASI000000000035,LOC000054807158,22/03/2019 11:09,29/03/2019 11:00,WOR700039823131,WOR700039823165,EU-DECLINE-CONNECTION,29/03/2019 13:00,Yes,Yes,Cancelled,0,
ORD420019898538,ASI000000000035,LOC000054914685,5/03/2019 6:17,1/04/2019 11:00,WOR700038289963,WOR700038289971,ON-TIME,1/04/2019 12:00,,,In progress,0,
ORD420020585079,ASI000000220777,LOC000054914685,21/03/2019 15:48,27/03/2019 11:00,WOR700039745440,WOR700039745455,EU-TIME-CONSTRAINT,27/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD420019681383,ASI000000000035,LOC000057278614,27/02/2019 5:27,27/03/2019 17:00,WOR700037775352,WOR700037775368,ORDER-CAN,27/03/2019 17:00,,,Cancelled,0,
ORD420020388925,ASI000000000035,LOC000057364477,16/03/2019 17:16,29/03/2019 12:00,WOR700039328940,WOR700039328955,FINISHED,29/03/2019 12:00,,Yes,Complete,1,
ORD420020703455,ASI000000000035,LOC000057715296,23/03/2019 18:29,1/04/2019 17:00,WOR700039969512,WOR700039969520,ASSIGNED,1/04/2019 18:00,,,In progress,0,
ORD420020585634,ASI000000000035,LOC000060078016,21/03/2019 15:56,27/03/2019 17:00,WOR700039746557,WOR700039746561,FINISHED,27/03/2019 17:00,,Yes,Complete,1,
ORD420020586465,ASI000000000035,LOC000060078016,21/03/2019 16:07,27/03/2019 17:00,WOR700039749195,WOR700039749202,EU-DECLINE-CONNECTION,27/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020074518,ASI000000000035,LOC000061049716,9/03/2019 16:06,26/03/2019 17:00,WOR700038756609,WOR700038756613,FINISHED,26/03/2019 17:00,,Yes,Complete,1,
ORD420020600942,ASI000000001074,LOC000061049716,21/03/2019 21:46,30/03/2019 12:00,WOR700039786597,WOR700039786606,FINISHED,30/03/2019 12:00,Yes,Yes,Complete,1,
ORD420020584078,ASI000000220777,LOC000062132556,21/03/2019 15:36,27/03/2019 17:00,WOR700039742909,WOR700039742913,FINISHED-NIA,27/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020621024,ASI000000220777,LOC000062132556,22/03/2019 10:14,28/03/2019 17:00,WOR700039816447,WOR700039816452,EU-DECLINE-CONNECTION,28/03/2019 17:00,Yes,Yes,In progress - Pending,0,
ORD420020233315,ASI000000001074,LOC000065938478,13/03/2019 13:09,27/03/2019 12:00,WOR700039014716,WOR700039014728,EU-DECLINE-CONNECTION,27/03/2019 13:00,Yes,Yes,Cancelled,0,
ORD420020233327,ASI000000001074,LOC000065938478,13/03/2019 13:09,27/03/2019 12:00,WOR700039014818,WOR700039014825,FINISHED,27/03/2019 13:00,,Yes,Complete,1,
ORD420020642826,ASI000000000035,LOC000066212630,22/03/2019 14:56,27/03/2019 17:00,WOR700039859707,WOR700039859711,ASSIGNED,27/03/2019 19:00,,,In progress,0,
ORD420020643619,ASI000000000035,LOC000066212630,22/03/2019 15:17,28/03/2019 11:00,WOR700039862334,WOR700039862347,ORDER-CAN,28/03/2019 13:00,,,Cancelled,0,
ORD420019986372,ASI000000220777,LOC000066936313,7/03/2019 9:22,28/03/2019 17:00,WOR700038519518,WOR700038519539,FINISHED,28/03/2019 17:00,,Yes,Complete,1,
ORD420020121904,ASI000000220282,LOC000067330261,11/03/2019 11:15,29/03/2019 12:00,WOR700038802082,WOR700038802095,FINISHED,29/03/2019 12:00,,Yes,Complete,1,
ORD420020236525,ASI000000000035,LOC000068572610,13/03/2019 15:09,26/03/2019 12:00,WOR700039029290,WOR700039029316,FINISHED,26/03/2019 12:00,,Yes,Complete,1,
ORD420020489557,ASI000000220777,LOC000069432260,19/03/2019 11:46,30/03/2019 11:00,WOR700039505392,WOR700039505407,ON-TIME,30/03/2019 12:00,,,In progress,0,
ORD420020491521,ASI000000220777,LOC000069432260,19/03/2019 12:45,30/03/2019 11:00,WOR700039513902,WOR700039513918,FINISHED-NIA,30/03/2019 12:00,Yes,Yes,In progress - Pending,0,
ORD420020290900,ASI000000000035,LOC000069480259,14/03/2019 10:38,27/03/2019 17:00,WOR700039099779,WOR700039735367,ACTIVATIONS-MODEM-SIGNAL-ISSUE,27/03/2019 17:00,Yes,Yes,In progress - Held,0,
ORD420020506475,ASI000000220777,LOC000069842768,19/03/2019 18:31,1/04/2019 12:00,WOR700039567102,WOR700039567139,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020517901,ASI000000220777,LOC000069842768,19/03/2019 21:39,1/04/2019 12:00,WOR700039587439,WOR700039587441,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020519595,ASI000000220777,LOC000072402951,19/03/2019 22:20,27/03/2019 12:00,WOR700039588698,WOR700039588701,WEATHER-WET-WIND,27/03/2019 13:00,,Yes,In progress,0,
ORD420019690891,ASI000000220777,LOC000076809157,27/02/2019 12:12,1/04/2019 12:00,WOR700037953024,WOR700037953030,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020441420,ASI000000220777,LOC000077003327,18/03/2019 16:36,29/03/2019 12:00,WOR700039422578,WOR700039422597,FINISHED,29/03/2019 12:00,,Yes,Complete,1,
ORD420020596780,ASI000000001074,LOC000077003327,21/03/2019 19:14,1/04/2019 12:00,WOR700039775175,WOR700039775181,ASSIGNED,1/04/2019 12:00,,,In progress,0,
ORD420020307091,ASI000000000035,LOC000078322609,14/03/2019 18:28,29/03/2019 12:00,WOR700039156861,WOR700039156874,FINISHED,29/03/2019 12:00,Yes,Yes,Complete,1,
ORD410001497976,ASI000000000035,LOC000079154489,14/03/2019 13:47,27/03/2019 12:00,WOR700039122884,WOR700039122897,FINISHED,27/03/2019 12:00,,Yes,Complete,1,
ORD420020723463,ASI000000000026,LOC000079592236,25/03/2019 12:32,29/03/2019 17:00,WOR700040025533,WOR700040025546,ORDER-CAN,29/03/2019 17:00,,,Cancelled,0,
ORD420020446869,ASI000000001074,LOC000079929689,18/03/2019 18:33,29/03/2019 17:00,WOR700039442323,WOR700039442347,PHY-INST-COMP,29/03/2019 17:00,,Yes,Complete,1,
ORD420020444026,ASI000000000035,LOC000080944673,18/03/2019 17:19,28/03/2019 17:00,WOR700039431756,WOR700039431760,WEATHER-HEAT-WIND,28/03/2019 17:00,,Yes,In progress - Pending,0,
ORD420020345061,ASI000000220777,LOC000084273232,15/03/2019 18:21,21/03/2019 17:00,WOR700039842819,WOR700039842826,FINISHED-NIA,28/03/2019 15:00,Yes,Yes,In progress - Pending,0,
ORD420020602711,ASI000000001074,LOC000084273232,21/03/2019 22:19,28/03/2019 12:00,WOR700039790030,WOR700039790048,FINISHED-NIA,28/03/2019 15:00,Yes,Yes,In progress,0,
ORD420019902355,ASI000000000035,LOC000084994575,5/03/2019 10:09,26/03/2019 12:00,WOR700038300466,WOR700038300478,COMPLEX-CIVILS-QUOTE,26/03/2019 12:00,Yes,Yes,In progress - Held,0,
ORD420020295101,ASI000000000035,LOC000084994575,14/03/2019 12:58,28/03/2019 11:00,WOR700039115918,WOR700039115925,WORKFORCE-ADDITIONAL-SKILLS,28/03/2019 12:00,Yes,Yes,In progress,0,
ORD420020594494,ASI000000220777,LOC000085611888,21/03/2019 18:44,26/03/2019 12:00,WOR700039769043,WOR700039769062,FINISHED,26/03/2019 13:00,Yes,Yes,Complete,1,
ORD420020519077,ASI000000000035,LOC000086470298,19/03/2019 22:04,27/03/2019 17:00,WOR700039588447,WOR700039588452,FINISHED,27/03/2019 18:00,,Yes,Complete,1,
ORD410001554761,ASI000000220777,LOC000086551274,25/03/2019 13:13,1/04/2019 11:00,WOR700040030165,WOR700040030177,ASSIGNED-TO-SDP,1/04/2019 12:00,,,In progress,0,
ORD410001554960,ASI000000220777,LOC000086551274,25/03/2019 13:41,1/04/2019 17:00,WOR700040035139,WOR700040035141,ASSIGNED-TO-SDP,1/04/2019 18:00,,,In progress,0,
ORD420020606323,ASI000000000035,LOC000086766972,22/03/2019 1:53,28/03/2019 17:00,WOR700039796797,WOR700039796811,COMPLEX-CIVILS-QUOTE,28/03/2019 17:00,Yes,Yes,In progress - Held,0,
ORD420020606458,ASI000000000035,LOC000086766972,22/03/2019 2:02,28/03/2019 17:00,WOR700039797131,WOR700039797149,COMPLEX-CIVILS-QUOTE,28/03/2019 17:00,Yes,Yes,In progress - Held,0,
ORD420020070005,ASI000000220777,LOC000088381740,9/03/2019 13:26,26/03/2019 17:00,WOR700038744421,WOR700038744432,FINISHED,26/03/2019 17:00,Yes,Yes,Complete,1,
ORD420020577628,ASI000000220777,LOC000088381740,21/03/2019 13:50,29/03/2019 17:00,WOR700039727365,WOR700039727377,ON-APPROACH-PRE-CALL-CANCELLATION,29/03/2019 17:00,Yes,Yes,In progress - Pending,0,
